saal,ostan,_sum,man,woman
94,آذربايجان شرقي,17598,9121,8477
94,آذربايجان غربي,17385,8871,8514
94,اردبيل,6358,3288,3070
94,اصفهان,20553,10592,9961
94,البرز,9975,5083,4892
94,ايلام,2622,1316,1306
94,بوشهر,5422,2792,2630
94,تهران,49519,25167,24352
94,چهارمحال وبختياري,5246,2698,2548
94,خراسان جنوبي,4559,2324,2235
94,خراسان رضوي,37616,19351,18265
94,خراسان شمالي,5013,2631,2382
94,خوزستان,28152,14502,13650
94,زنجان,5224,2666,2558
94,سمنان,2604,1375,1229
94,سيستان وبلوچستان,25253,12973,12280
94,فارس,21714,11125,10589
94,قزوين,5495,2790,2705
94,قم,6518,3295,3223
94,كردستان,7435,3888,3547
94,كرمان,15165,7638,7527
94,كرمانشاه,8938,4677,4261
94,كهگيلويه وبويراحمد,4101,2090,2011
94,گلستان,10553,5369,5184
94,گيلان,7297,3735,3562
94,لرستان,9152,4786,4366
94,مازندران,11111,5710,5401
94,مركزي,5510,2857,2653
94,هرمزگان,10258,5282,4976
94,همدان,8409,4319,4090
94,يزد,6068,3101,2967
