saal,ostan,_sum,man,woman
96,آذربايجان شرقي,15607,8050,7557
96,آذربايجان غربي,15278,8001,7277
96,اردبيل,5435,2856,2579
96,اصفهان,18524,9511,9013
96,البرز,9275,4703,4572
96,ايلام,2578,1336,1242
96,بوشهر,5260,2744,2516
96,تهران,46631,23921,22710
96,چهارمحال وبختياري,4735,2462,2273
96,خراسان جنوبي,4156,2166,1990
96,خراسان رضوي,33557,17149,16408
96,خراسان شمالي,4272,2222,2050
96,خوزستان,28249,14448,13801
96,زنجان,4655,2392,2263
96,سمنان,2353,1200,1153
96,سيستان وبلوچستان,24165,12258,11907
96,فارس,19715,10270,9445
96,قزوين,4795,2499,2296
96,قم,5878,2910,2968
96,كردستان,6998,3620,3378
96,كرمان,14113,7227,6886
96,كرمانشاه,7839,4185,3654
96,كهگيلويه وبويراحمد,3521,1788,1733
96,گلستان,9731,5008,4723
96,گيلان,6970,3588,3382
96,لرستان,7880,4153,3727
96,مازندران,10231,5229,5002
96,مركزي,4691,2435,2256
96,هرمزگان,9807,5083,4724
96,همدان,6998,3600,3398
96,يزد,5717,2930,2787
