saal,ostan,_sum,man,woman
98,آذربايجان شرقي,12702,6574,6128
98,آذربايجان غربي,13285,6947,6338
98,اردبيل,4452,2250,2202
98,اصفهان,14078,7256,6822
98,البرز,6902,3614,3288
98,ايلام,2036,1027,1009
98,بوشهر,4009,2082,1927
98,تهران,36770,18829,17941
98,چهارمحال وبختياري,3751,1911,1840
98,خراسان جنوبي,3664,1883,1781
98,خراسان رضوي,27088,13958,13130
98,خراسان شمالي,3608,1864,1744
98,خوزستان,23177,11878,11299
98,زنجان,3712,1996,1716
98,سمنان,1913,970,943
98,سيستان وبلوچستان,21705,11191,10514
98,فارس,15457,7925,7532
98,قزوين,3697,1940,1757
98,قم,4486,2284,2202
98,كردستان,5692,2930,2762
98,كرمان,11572,5841,5731
98,كرمانشاه,6415,3387,3028
98,كهگيلويه وبويراحمد,2774,1400,1374
98,گلستان,7682,3891,3791
98,گيلان,5462,2824,2638
98,لرستان,6470,3399,3071
98,مازندران,7886,4075,3811
98,مركزي,3607,1837,1770
98,هرمزگان,8516,4378,4138
98,همدان,5856,3045,2811
98,يزد,4355,2199,2156
